year,region,latitude,longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2016,5,28.2916,-16.6291,2101924.0,8344,0,1,0,0,0,0,0,0,0,-0.3474878248623879
2016,4,43.1828,-3.9878,582206.0,1261,0,1,0,0,0,0,0,0,0,-0.4478817337392252
2016,7,41.6523,-4.7245,2447519.0,5110,0,1,0,0,0,0,0,0,0,-0.39490876794948165
2016,6,39.8628,-4.0273,2041631.0,4160,0,1,0,0,0,0,0,0,0,-0.39905937945439396
2016,8,41.3851,2.1734,7522596.0,18226,0,1,0,0,0,0,0,0,0,-0.013527843865059815
2016,11,39.4699,-0.3763,4959968.0,11726,0,1,0,0,0,0,0,0,0,-0.2524474120312098
2016,12,39.4765,-6.3722,1087778.0,2092,0,1,0,0,0,0,0,0,0,-0.4333838404290068
2016,13,42.5751,-8.1339,2718525.0,5838,0,1,0,0,0,0,0,0,0,-0.3757587589920233
2016,14,40.4168,-3.7038,6466996.0,13350,0,1,0,0,0,0,0,0,0,-0.2597631598439807
2016,15,37.9922,-1.1307,1464847.0,3032,0,1,0,0,0,0,0,0,0,-0.41106809696736374
2016,16,42.6954,-1.6761,640647.0,1812,0,1,0,0,0,0,0,0,0,-0.43899772074696264
2016,17,43.263,-2.9349,2189534.0,7684,0,1,0,0,0,0,0,0,0,-0.2649856695351118
2016,18,42.2871,-2.5396,315794.0,444,0,1,0,0,0,0,0,0,0,-0.45901079045505344
2016,9,35.8894,-5.3198,84519.0,322,0,1,0,0,0,0,0,0,0,-0.46225856453277886
2016,10,35.293,-2.9387,86026.0,290,0,1,0,0,0,0,0,0,0,-0.46341830422125563
2015,0,37.3873,-5.9869,8399043.0,14587,0,1,0,0,0,0,0,0,0,-0.17551485478283138
2015,1,41.6488,-0.8891,1317847.0,1384,0,1,0,0,0,0,0,0,0,-0.43280761082597996
2015,2,43.3619,-5.8494,1051229.0,1155,0,1,0,0,0,0,0,0,0,-0.44801478875750955
2015,3,39.5712,2.6466,1104479.0,2685,0,1,0,0,0,0,0,0,0,-0.41577980325730557
2015,5,28.2916,-16.6291,2100306.0,5244,0,1,0,0,0,0,0,0,0,-0.389627227596462
2015,4,43.1828,-3.9878,585179.0,864,0,1,0,0,0,0,0,0,0,-0.4544187859864314
2015,7,41.6523,-4.7245,2472052.0,3208,0,1,0,0,0,0,0,0,0,-0.4206148886423724
2015,6,39.8628,-4.0273,2059191.0,2707,0,1,0,0,0,0,0,0,0,-0.41742058212149397
2015,8,41.3851,2.1734,7508106.0,15034,0,1,0,0,0,0,0,0,0,-0.06822375826140686
2015,11,39.4699,-0.3763,4980689.0,7906,0,1,0,0,0,0,0,0,0,-0.2947370279867753
2015,12,39.4765,-6.3722,1092997.0,1312,0,1,0,0,0,0,0,0,0,-0.44220384221736087
2015,13,42.5751,-8.1339,2732347.0,3736,0,1,0,0,0,0,0,0,0,-0.40132019563357224
2015,14,40.4168,-3.7038,6436996.0,8609,0,1,0,0,0,0,0,0,0,-0.32137004346911663
2015,15,37.9922,-1.1307,1467288.0,2122,0,1,0,0,0,0,0,0,0,-0.42312312663966095
2015,16,42.6954,-1.6761,640476.0,977,0,1,0,0,0,0,0,0,0,-0.439113771120315
